date;Filière de production;Plage de puissance injection;Total
2018-01-04;F3 : Hydraulique;P7 : > 12000 kW;1244345315
2018-01-04;F4 : Eolien;P0 : Total toutes puissances;190422264362
2018-01-04;F4 : Eolien;P1 : ]0 - 3] kW;142961908
2018-01-04;F4 : Eolien;P2 : ]3 - 9] kW;188496
2018-01-04;F4 : Eolien;P3 : ]9 - 100] kW;388176
2018-01-04;F4 : Eolien;P4 : ]100 - 250] kW;0
2018-01-04;F4 : Eolien;P5 : ]250 - 1000] kW;0
2018-01-04;F4 : Eolien;P6 : ]1000 - 12000] kW;168221613147
2018-01-04;F4 : Eolien;P7 : > 12000 kW;21962493147
2018-01-04;F5 : Solaire;P0 : Total toutes puissances;5847941971
2018-01-04;F5 : Solaire;P1 : ]0 - 3] kW;487141694
2018-01-04;F5 : Solaire;P2 : ]3 - 9] kW;289946973
2018-01-04;F5 : Solaire;P3 : ]9 - 100] kW;987588417
2018-01-04;F5 : Solaire;P4 : ]100 - 250] kW;651799557
2018-01-04;F5 : Solaire;P5 : ]250 - 1000] kW;0
2018-01-04;F5 : Solaire;P6 : ]1000 - 12000] kW;3170842319
2018-01-04;F5 : Solaire;P7 : > 12000 kW;0
2018-01-04;F6 : Autres;P0 : Total toutes puissances;327728902
2018-01-04;F6 : Autres;P1 : ]0 - 3] kW;0
2018-01-04;F6 : Autres;P2 : ]3 - 9] kW;0
2018-01-04;F6 : Autres;P3 : ]9 - 100] kW;0
2018-01-04;F6 : Autres;P4 : ]100 - 250] kW;0
2018-01-04;F6 : Autres;P5 : ]250 - 1000] kW;0
2018-01-04;F6 : Autres;P6 : ]1000 - 12000] kW;319823649
2018-01-04;F6 : Autres;P7 : > 12000 kW;0
2018-01-05;F0 : Total toutes filières;P0 : Total toutes puissances;184654423440
2018-01-05;F0 : Total toutes filières;P1 : ]0 - 3] kW;2052241204
2018-01-05;F0 : Total toutes filières;P2 : ]3 - 9] kW;387379060
2018-01-05;F0 : Total toutes filières;P3 : ]9 - 100] kW;1574152928
2018-01-05;F0 : Total toutes filières;P4 : ]100 - 250] kW;2532480494
2018-01-05;F0 : Total toutes filières;P5 : ]250 - 1000] kW;5893869336
